@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE expTruth NUMERIC

@DATA
10.0462,0.0163,0.0437,18.0083,2.0000,0.4756,0.6021,0.6548,0.8035,1.7770930136358827
9.9290,0.0271,0.0597,13.9711,2.0000,0.4750,0.6019,0.6538,0.8030,1.7770930136358827
9.9871,0.0211,0.0513,15.8297,2.0000,0.4754,0.6017,0.6537,0.8030,1.7770930136358827
9.8044,0.0005,0.0018,97.4230,14.0000,0.4050,0.5504,0.6123,0.8000,1.4423545761811085
9.6673,0.0072,0.0266,24.6754,4.0000,0.4056,0.5504,0.6127,0.8012,1.4423545761811085
9.6025,0.0115,0.0367,19.7065,3.0000,0.4045,0.5499,0.6120,0.8025,1.4423545761811085
10.3549,0.0124,0.0458,16.0174,3.0000,0.3373,0.5192,0.5678,0.7172,0.9043941910086396
10.3006,0.0190,0.0587,13.3597,3.0000,0.3375,0.5193,0.5685,0.7186,0.9043941910086396
10.1846,0.0353,0.0828,10.1748,2.0000,0.3374,0.5199,0.5689,0.7196,0.9043941910086396
10.1332,0.0009,0.0121,30.9451,7.0000,0.2291,0.3867,0.4742,0.6955,0.8621463667823234
10.0219,0.0186,0.0631,12.2166,3.0000,0.2307,0.3877,0.4740,0.6974,0.8621463667823234
10.1289,0.0015,0.0169,26.9683,6.0000,0.2304,0.3875,0.4748,0.6964,0.8621463667823234
9.7236,0.0109,0.0361,20.1854,3.0000,0.4296,0.5683,0.6263,0.8029,1.5549397853111186
9.7200,0.0109,0.0361,20.2229,3.0000,0.4308,0.5689,0.6273,0.8035,1.5549397853111186
9.7905,0.0052,0.0236,27.2470,4.0000,0.4304,0.5690,0.6268,0.8030,1.5549397853111186
10.3429,0.0095,0.0461,14.2520,4.0000,0.1360,0.2375,0.2958,0.5573,0.825596687395753
10.3929,0.0005,0.0099,30.3859,8.0000,0.1361,0.2365,0.2946,0.5570,0.825596687395753
10.2233,0.0302,0.0877,8.9916,2.0000,0.1370,0.2379,0.2959,0.5593,0.825596687395753
10.0356,0.0394,0.0772,11.0139,2.0000,0.3758,0.5175,0.5782,0.7628,1.3633965063543267
10.4204,0.0052,0.0229,28.1044,4.0000,0.3759,0.5174,0.5774,0.7614,1.3633965063543267
10.2915,0.0163,0.0439,17.4942,3.0000,0.3757,0.5164,0.5774,0.7618,1.3633965063543267
10.7256,0.0784,0.1164,7.8161,1.0000,0.3897,0.5170,0.5709,0.7306,1.4667083259143843
11.6071,0.0120,0.0349,22.0271,3.0000,0.3895,0.5174,0.5706,0.7293,1.4667083259143843
10.5917,0.0866,0.1252,7.2927,1.0000,0.3891,0.5164,0.5701,0.7297,1.4667083259143843
9.8218,0.0210,0.0515,15.7482,2.0000,0.5156,0.6267,0.6689,0.8103,1.565913667486374
9.8952,0.0139,0.0403,19.0959,3.0000,0.5160,0.6268,0.6709,0.8122,1.565913667486374
9.9785,0.0070,0.0269,25.6002,3.0000,0.5146,0.6258,0.6694,0.8104,1.565913667486374
10.1319,0.0051,0.0226,28.9610,4.0000,0.5140,0.6238,0.6664,0.8052,1.5316102870284218
9.8425,0.0301,0.0638,13.2182,2.0000,0.5149,0.6243,0.6670,0.8059,1.5316102870284218
10.0843,0.0091,0.0315,23.0613,3.0000,0.5140,0.6239,0.6669,0.8055,1.5316102870284218
10.2827,0.0245,0.0739,10.8371,3.0000,0.2725,0.4574,0.5207,0.6769,0.8525046702338079
10.2079,0.0355,0.0917,9.1312,2.0000,0.2726,0.4575,0.5199,0.6763,0.8525046702338079
10.2858,0.0243,0.0738,10.8257,3.0000,0.2716,0.4567,0.5191,0.6759,0.8525046702338079
10.3116,0.0146,0.0419,18.1759,3.0000,0.3894,0.5277,0.5870,0.7647,1.4214844939117237
10.1896,0.0261,0.0589,13.8501,2.0000,0.3896,0.5287,0.5877,0.7663,1.4214844939117237
10.3818,0.0085,0.0305,23.0500,3.0000,0.3894,0.5288,0.5877,0.7651,1.4214844939117237
11.0687,0.0070,0.0261,27.0328,3.0000,0.4727,0.5936,0.6376,0.7679,1.7312907580815406
10.4620,0.0547,0.0918,9.7285,1.0000,0.4715,0.5922,0.6365,0.7681,1.7312907580815406
10.3582,0.0646,0.1022,8.8358,1.0000,0.4714,0.5922,0.6355,0.7689,1.7312907580815406
11.2227,0.0323,0.0640,13.4152,2.0000,0.5020,0.5929,0.6301,0.7514,1.396738142564293
10.3914,0.0934,0.1329,6.9845,1.0000,0.5044,0.5944,0.6314,0.7551,1.396738142564293
11.5162,0.0099,0.0315,23.8776,3.0000,0.5026,0.5940,0.6310,0.7521,1.396738142564293
10.5023,0.0615,0.1148,7.7629,2.0000,0.3994,0.5252,0.5630,0.6973,0.909457215991787
10.6582,0.0427,0.0913,9.4331,2.0000,0.3996,0.5246,0.5625,0.6952,0.909457215991787
10.9301,0.0090,0.0377,18.6046,3.0000,0.3998,0.5244,0.5621,0.6943,0.909457215991787
10.3960,0.0327,0.0660,12.9609,2.0000,0.4446,0.5965,0.6444,0.7822,1.3393315138294624
10.2747,0.0425,0.0786,11.1489,2.0000,0.4440,0.5964,0.6446,0.7820,1.3393315138294624
10.1412,0.0538,0.0916,9.7365,1.0000,0.4437,0.5955,0.6438,0.7833,1.3393315138294624
9.8591,0.0000,0.0004,116.8853,15.0000,0.3698,0.5669,0.6506,0.8166,0.9990623545347347
9.8591,0.0000,0.0014,93.0989,12.0000,0.3700,0.5669,0.6504,0.8169,0.9990623545347347
9.7068,0.0123,0.0384,19.7030,3.0000,0.3686,0.5658,0.6495,0.8178,0.9990623545347347
