@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE logLenC NUMERIC

@DATA
10.0462,0.0163,0.0437,18.0083,2.0000,0.4756,0.6021,0.6548,0.8035,3.1354942159291497
9.9290,0.0271,0.0597,13.9711,2.0000,0.4750,0.6019,0.6538,0.8030,3.1354942159291497
9.9871,0.0211,0.0513,15.8297,2.0000,0.4754,0.6017,0.6537,0.8030,3.1354942159291497
9.8044,0.0005,0.0018,97.4230,14.0000,0.4050,0.5504,0.6123,0.8000,8.499232866039245
9.6673,0.0072,0.0266,24.6754,4.0000,0.4056,0.5504,0.6127,0.8012,8.499232866039245
9.6025,0.0115,0.0367,19.7065,3.0000,0.4045,0.5499,0.6120,0.8025,8.499232866039245
10.3549,0.0124,0.0458,16.0174,3.0000,0.3373,0.5192,0.5678,0.7172,3.1354942159291497
10.3006,0.0190,0.0587,13.3597,3.0000,0.3375,0.5193,0.5685,0.7186,3.1354942159291497
10.1846,0.0353,0.0828,10.1748,2.0000,0.3374,0.5199,0.5689,0.7196,3.1354942159291497
10.1332,0.0009,0.0121,30.9451,7.0000,0.2291,0.3867,0.4742,0.6955,4.564348191467836
10.0219,0.0186,0.0631,12.2166,3.0000,0.2307,0.3877,0.4740,0.6974,4.564348191467836
10.1289,0.0015,0.0169,26.9683,6.0000,0.2304,0.3875,0.4748,0.6964,4.564348191467836
9.7236,0.0109,0.0361,20.1854,3.0000,0.4296,0.5683,0.6263,0.8029,6.536691597591305
9.7200,0.0109,0.0361,20.2229,3.0000,0.4308,0.5689,0.6273,0.8035,6.536691597591305
9.7905,0.0052,0.0236,27.2470,4.0000,0.4304,0.5690,0.6268,0.8030,6.536691597591305
10.3429,0.0095,0.0461,14.2520,4.0000,0.1360,0.2375,0.2958,0.5573,6.925595197110468
10.3929,0.0005,0.0099,30.3859,8.0000,0.1361,0.2365,0.2946,0.5570,6.925595197110468
10.2233,0.0302,0.0877,8.9916,2.0000,0.1370,0.2379,0.2959,0.5593,6.925595197110468
10.0356,0.0394,0.0772,11.0139,2.0000,0.3758,0.5175,0.5782,0.7628,6.9363427358340495
